wavelength, absorption
400,0.06331
401,0.06519
402,0.06707
403,0.06892
404,0.07074
405,0.07252
406,0.07428
407,0.07601
408,0.07772
409,0.07943
410,0.08113
411,0.08284
412,0.08456
413,0.0863
414,0.08807
415,0.08987
416,0.09172
417,0.09362
418,0.0956
419,0.09769
420,0.09989
421,0.10224
422,0.10475
423,0.10745
424,0.11035
425,0.11344
426,0.11666
427,0.11999
428,0.12336
429,0.12675
430,0.13009
431,0.13335
432,0.13649
433,0.13945
434,0.14224
435,0.14484
436,0.14726
437,0.14949
438,0.15153
439,0.15339
440,0.15506
441,0.15656
442,0.15798
443,0.1594
444,0.1609
445,0.16258
446,0.16452
447,0.16672
448,0.16917
449,0.17183
450,0.17467
451,0.17767
452,0.18079
453,0.18401
454,0.18736
455,0.19086
456,0.19453
457,0.19841
458,0.20251
459,0.20686
460,0.21148
461,0.216
462,0.21966
463,0.22209
464,0.22373
465,0.22509
466,0.22634
467,0.2273
468,0.22779
469,0.22775
470,0.22731
471,0.22665
472,0.22591
473,0.22509
474,0.22418
475,0.22315
476,0.22199
477,0.22081
478,0.21973
479,0.21885
480,0.21828
481,0.21815
482,0.21855
483,0.21946
484,0.22069
485,0.2221
486,0.22349
487,0.22478
488,0.22602
489,0.22728
490,0.22856
491,0.22983
492,0.23102
493,0.23202
494,0.23271
495,0.23296
496,0.23246
497,0.23091
498,0.22855
499,0.22581
500,0.22276
501,0.21943
502,0.21583
503,0.21201
504,0.20799
505,0.20381
506,0.1995
507,0.1951
508,0.19063
509,0.18614
510,0.18165
511,0.17721
512,0.17283
513,0.16851
514,0.16427
515,0.16007
516,0.15593
517,0.15183
518,0.14777
519,0.14375
520,0.13974
521,0.13576
522,0.13179
523,0.12783
524,0.12388
525,0.11993
526,0.11601
527,0.11213
528,0.1083
529,0.10452
530,0.10082
531,0.0972
532,0.09365
533,0.09019
534,0.08682
535,0.08354
536,0.08036
537,0.07727
538,0.07428
539,0.0714
540,0.06861
541,0.06593
542,0.06334
543,0.06085
544,0.05845
545,0.05615
546,0.05395
547,0.05184
548,0.04983
549,0.0479
550,0.04607
551,0.04433
552,0.04268
553,0.0411
554,0.03959
555,0.03815
556,0.03677
557,0.03543
558,0.03414
559,0.03289
560,0.03167
561,0.03048
562,0.0293
563,0.02815
564,0.02702
565,0.02591
566,0.02484
567,0.02379
568,0.02278
569,0.02181
570,0.02087
571,0.01998
572,0.01912
573,0.01832
574,0.01756
575,0.01684
576,0.01617
577,0.01554
578,0.01496
579,0.0144
580,0.01389
581,0.01341
582,0.01296
583,0.01254
584,0.01214
585,0.01178
586,0.01143
587,0.01111
588,0.01081
589,0.01053
590,0.01026
591,0.01
592,0.00976
593,0.00953
594,0.0093
595,0.00908
596,0.00886
597,0.00865
598,0.00843
599,0.00822
600,0.00799
601,0.00776
602,0.00753
603,0.00729
604,0.00704
605,0.00681
606,0.00658
607,0.00636
608,0.00615
609,0.00596
610,0.0058
611,0.00566
612,0.00555
613,0.00547
614,0.00542
615,0.0054
616,0.00539
617,0.0054
618,0.00542
619,0.00545
620,0.00548
621,0.00552
622,0.00555
623,0.00557
624,0.00558
625,0.00558
626,0.00557
627,0.00554
628,0.0055
629,0.00545
630,0.00537
631,0.00528
632,0.00517
633,0.00504
634,0.00489
635,0.00472
636,0.00455
637,0.00438
638,0.00423
639,0.00409
640,0.00398
641,0.0039
642,0.00387
643,0.0039
644,0.00398
645,0.0041
646,0.00427
647,0.00445
648,0.00464
649,0.00482
650,0.00499
651,0.00512
652,0.00522
653,0.00529
654,0.00533
655,0.00534
656,0.00533
657,0.00531
658,0.00526
659,0.0052
660,0.00513
661,0.00505
662,0.00497
663,0.00488
664,0.00479
665,0.00471
666,0.00463
667,0.00456
668,0.00449
669,0.00444
670,0.00441
671,0.00439
672,0.00438
673,0.00438
674,0.00438
675,0.0044
676,0.00441
677,0.00442
678,0.00444
679,0.00445
680,0.00446
681,0.00445
682,0.00444
683,0.00443
684,0.0044
685,0.00437
686,0.00433
687,0.00428
688,0.00423
689,0.00417
690,0.0041
691,0.00404
692,0.00396
693,0.00389
694,0.00381
695,0.00373
696,0.00365
697,0.00357
698,0.00349
699,0.00341
700,0.00334