wavelength, intensity_rel
400,0.000148
401,0.000155
402,0.000166
403,0.000173
404,0.000180
405,0.000187
406,0.000211
407,0.000211
408,0.000211
409,0.000234
410,0.000234
411,0.000234
412,0.000234
413,0.000257
414,0.000281
415,0.000328
416,0.000351
417,0.000398
418,0.000398
419,0.000492
420,0.000538
421,0.000542
422,0.000602
423,0.000796
424,0.000905
425,0.001030
426,0.001287
427,0.001428
428,0.001568
429,0.001779
430,0.001919
431,0.002109
432,0.002298
433,0.002582
434,0.002772
435,0.002961
436,0.003246
437,0.003435
438,0.003625
439,0.003909
440,0.004325
441,0.004741
442,0.005157
443,0.005781
444,0.006197
445,0.006614
446,0.007238
447,0.007654
448,0.008215
449,0.008777
450,0.009339
451,0.009643
452,0.009807
453,0.009877
454,0.009924
455,0.009868
456,0.009784
457,0.009495
458,0.009206
459,0.008772
460,0.008483
461,0.008194
462,0.007905
463,0.007472
464,0.007183
465,0.006894
466,0.006460
467,0.006299
468,0.006138
469,0.005976
470,0.005735
471,0.005573
472,0.005412
473,0.005170
474,0.005009
475,0.004919
476,0.004785
477,0.004696
478,0.004607
479,0.004517
480,0.004383
481,0.004294
482,0.004205
483,0.004070
484,0.003979
485,0.003946
486,0.003848
487,0.003782
488,0.003717
489,0.003651
490,0.003604
491,0.003581
492,0.003534
493,0.003488
494,0.003464
495,0.003464
496,0.003441
497,0.003417
498,0.003464
499,0.003488
500,0.003534
501,0.003581
502,0.003581
503,0.003651
504,0.003698
505,0.003745
506,0.003862
507,0.003951
508,0.004041
509,0.004130
510,0.004264
511,0.004354
512,0.004420
513,0.004519
514,0.004586
515,0.004652
516,0.004718
517,0.004798
518,0.004868
519,0.004962
520,0.005009
521,0.005079
522,0.005126
523,0.005173
524,0.005220
525,0.005236
526,0.005269
527,0.005318
528,0.005351
529,0.005383
530,0.005397
531,0.005407
532,0.005416
533,0.005426
534,0.005454
535,0.005454
536,0.005454
537,0.005454
538,0.005454
539,0.005454
540,0.005454
541,0.005454
542,0.005430
543,0.005430
544,0.005407
545,0.005407
546,0.005407
547,0.005383
548,0.005383
549,0.005352
550,0.005337
551,0.005290
552,0.005290
553,0.005290
554,0.005255
555,0.005231
556,0.005208
557,0.005173
558,0.005149
559,0.005126
560,0.005103
561,0.005056
562,0.005039
563,0.005006
564,0.004955
565,0.004915
566,0.004892
567,0.004822
568,0.004798
569,0.004775
570,0.004728
571,0.004658
572,0.004611
573,0.004564
574,0.004517
575,0.004471
576,0.004424
577,0.004354
578,0.004307
579,0.004283
580,0.004236
581,0.004190
582,0.004143
583,0.004096
584,0.004049
585,0.003979
586,0.003932
587,0.003909
588,0.003815
589,0.003768
590,0.003722
591,0.003651
592,0.003604
593,0.003581
594,0.003511
595,0.003464
596,0.003441
597,0.003370
598,0.003307
599,0.003267
600,0.003227
601,0.003160
602,0.003113
603,0.003066
604,0.003019
605,0.002973
606,0.002949
607,0.002902
608,0.002832
609,0.002785
610,0.002739
611,0.002692
612,0.002645
613,0.002598
614,0.002551
615,0.002481
616,0.002458
617,0.002411
618,0.002364
619,0.002317
620,0.002270
621,0.002224
622,0.002177
623,0.002130
624,0.002083
625,0.002036
626,0.002013
627,0.001966
628,0.001896
629,0.001872
630,0.001849
631,0.001779
632,0.001756
633,0.001732
634,0.001685
635,0.001638
636,0.001592
637,0.001545
638,0.001498
639,0.001451
640,0.001428
641,0.001381
642,0.001334
643,0.001311
644,0.001274
645,0.001235
646,0.001209
647,0.001183
648,0.001147
649,0.001100
650,0.001077
651,0.001056
652,0.001025
653,0.001004
654,0.000983
655,0.000936
656,0.000913
657,0.000889
658,0.000843
659,0.000819
660,0.000796
661,0.000796
662,0.000749
663,0.000702
664,0.000702
665,0.000679
666,0.000655
667,0.000632
668,0.000609
669,0.000585
670,0.000585
671,0.000562
672,0.000538
673,0.000515
674,0.000515
675,0.000468
676,0.000468
677,0.000445
678,0.000445
679,0.000445
680,0.000398
681,0.000398
682,0.000398
683,0.000375
684,0.000351
685,0.000351
686,0.000351
687,0.000325
688,0.000318
689,0.000309
690,0.000303
691,0.000297
692,0.000287
693,0.000281
694,0.000272
695,0.000259
696,0.000250
697,0.000241
698,0.000233
699,0.000219
700,0.000211